的	u_ unid	白勹丶
墙	ggh_ gghd	土土丷口
货	jvo_ jvob	亻贝
弱	bw_ bwbw	弓冫弓冫
敌	ah_ ahp	舌攵
挑	upw_ upww	扌儿冫
宽	wl_ wlej	宀艹见
迹	zcu_ zcuc	亠辶
抽	udy	扌由
忍	pih_ pihx	刀丶心
折	utj	扌斤
输	yjv_ yjvp	亼⺝刂
稳	xxb_ xxbh	禾⺈彐心
皇	un_ unw	白王
桌	yoe_ yoem	⺊日木
献	nmgm	十冂犬
蒙	lwf_ lwfj	艹冖一豕
纷	ihp_ ihpd	纟八刀
麻	zm	麻
洗	kqp_ kqpe	氵⺧儿
评	seh_ sehb	讠干丷
挂	uggt	扌土土
童	idl	立里
尊	hyk_ hykc	丷酉寸
舍	jas	人
唯	dui	口隹
博	nnk_ nnkc	十甫寸
剧	ccp_ ccpd	尸古刂
乃	vn	乃
混	kov_ kovv	氵日匕
弹	bhq_ bhqn2	弓丷田十
附	tjk_ tjkc	阝亻寸
迟	ciu_ ciuc	尸丶辶
敬	lgh_ lghp	艹句攵
杯	ecb	木不
鱼	wvv wv2	鱼
控	ueu_ ueug	扌穴工
塞	wqhg	宀土
剑	jkf_ jkfp	亼⺍一刂
厚	xoh_ xohi	厂日子
佳	jgg_ jggt	亻土土
测	ko_ kopd	氵贝刂
训	so_ soc	讠川
牙	ly	牙
洞	kmf_ kmfd	氵冂一口
淡	kcch	氵火火
盛	naa_ naam	戊㇆皿
县	fks	且厶
芳	llf	艹方
雅	lu_ lui2	牙隹
革	tg	革
款	gf_ gfeq	士示欠
横	enh	木黄
累	qis	田糸
择	uru_ urus	扌又
乘	xav_ xavb	禾匕
刺	emp_ empd	木冂刂
载	npy_ npyc	十戈
猛	mha_ mham	犭子皿
逃	pw_ pwwu	儿冫辶
构	enk_ enks	木勹厶
赵	pbi	走㐅
杜	egt	木土
庆	xmd	广大
途	jxu_ jxuc	人辶
奔	mnl_ mnlc	大十廾
虎	zhh zh2	虎
巧	ufae	工一ㄅ
抗	uzo_ uzoj	扌亠几
针	zn_ zns	钅十
徒	wpz	彳走
圆	rdo_ rdob	囗口贝
闪	aj_ ajr	门人
谷	hg	谷
绍	ipdk	纟刀口
聚	qrt_ qrtk	耳又丿
额	wsw_ wswy	宀各页
健	jbu_ jbuy	亻聿廴
诚	sna_ snae	讠戊㇆
鲜	wgy	鱼羊
泪	kq_ kqm	氵目
闲	ae_ aem	门木
均	gnw_ gnwb	土勹冫
序	xiv	广予
震	tfc	⻗辰
仿	jlf	亻方
缘	ibj_ ibjs	纟彑
戴	npq_ npqh	十戈田八
婚	bbo_ bbor	女氏日
篇	rmi_ rmic	⺮户
亡	fw	亡
奶	bv_ bvn	女乃
忠	dgh_ dghx	口丨心
烦	cwy	火页
赛	wqh_ wqho	宀贝
闹	az_ azrj	门亠巾
协	nsh_ nshb	十力八
杰	ech	木灬
残	gfp_ gfpg	歹一戈
懂	hll_ hlld	忄艹千里
丹	mzt	⺆亠
柳	eb_ ebm	木卯
妹	ba_ baw	女未
映	om_ ommd	日大
桥	etm_ etmp	木丿大
叹	dry	口又
愈	jvph	亼⺝刂心
旅	let_ leti	方𠂉
授	uyw_ uywr	扌爫冖又
享	ghi	子
暴	olh_ olhk	日龷八氺
偷	jjv_ jjvp	亻亼⺝刂
蓝	lp_ lpra	艹〢皿
氏	bss bs2	氏
寒	wq_ wqhw	宀⺀
宜	wfq	宀且
弃	blc	廾
丰	af	丰
延	tsu_ tsuy	丿止廴
辈	ryc	非车
抢	ujz_ ujzj	扌人⺋
颜	ix_ ixew	厂彡页
赞	qpq_ qpqo	⺧⺧贝
典	ihb	
冒	oqm	⺜目
眉	cq_ cqm	目
烧	cpf_ cpfp	火一儿
厂	xc	厂
唱	doo_ door	口日曰
径	wru_ wrug	彳ス工
库	xyc	广车
川	oc	川
辞	anx	舌辛
伴	jhu_ jhus	亻丷
怒	brh_ brhx	女又心
型	flpg	一廾刂土
纯	ifs_ ifsc	纟一
贝	ob	贝
票	vf_ vfs2	覀示
隔	tng	阝鬲
穷	esl	穴力
拜	ufa_ ufaf	龵一丰
审	wo_ wogs	宀日丨
伦	jjl	亻仑
悲	rh_ rhx	非心
柔	ite_ item	予丿木
启	md_ mdk	户口
减	wnf_ wnfd	冫戊一口
页	wy	页
纵	ijj_ ijjr	纟人人
扫	ubj	扌彐
伟	jgw	亻韦
迫	uuc	白辶
振	ufc	扌辰
瑞	nvl_ nvle	王山而
丈	fbi	一
梁	kph_ kphe	氵刀木
洲	koo_ kooc	氵川
枪	ejz_ ejzj	木人⺋
央	mm_ mmd	大
触	xtc_ xtcc	⺈用虫
予	iv	予
孤	hyg	子瓜
缩	iwj_ iwju	纟宀亻白
洛	ksg	氵各
损	udo_ udob	扌口贝
促	jpu	亻足
番	tpq_ tpqt2	丿米田
罢	ygk_ ygks	罒土厶
宋	wem	宀木
奋	mqt	大田
销	zyv_ zyvy	钅⺌⺝
幕	lomr	艹日大巾
犹	mo_ moy	犭尤
锁	zyo_ zyob	钅⺌贝
珍	nje_ njes	王人彡
抬	ukd_ ukdk	扌厶口
陪	tidk	阝立口
妙	byt_ bytp	女𡭔丿
摸	ul_ ulom	扌艹日大
峰	vha_ vhaf	山夂丰
劲	rus_ rusl	ス工力
镜	zxp_ zxpe	钅音儿
沈	kwp_ kwpe	氵冖
夺	mk_ mkc	大寸
昨	owa	日乍
哭	ddm_ ddmq	口口犬
讯	san_ sans	讠⺄十
貌	mup_ mupe	豸白儿
谋	sze_ szem	讠甘木
泰	aik_ aiks	㇏氺
侧	jop_ jopd	亻贝刂
贫	hpo_ hpob	八刀贝
扶	uhf	扌夫
阻	tfq	阝且
贴	oyd_ oydk	贝⺊口
申	ogs	日丨
岸	vxe_ vxeg	山厂干
彼	wrp	彳皮
赏	sob	贝
版	ax_ axry	片⺁又
抵	ubi_ ubid	扌氏丶
泽	kru_ krus	氵又
插	ulp_ ulpj	扌千臼
迅	anu_ anuc	⺄十辶
凭	jtg_ jtgo2	亻㇒士几
伊	jbt_ jbtp	亻丿
潮	kno_ knov	氵十日月
咱	doi	口自
仙	jvs	亻山
符	rjk_ rjkc	⺮亻寸
宇	wfn_ wfns	宀一
肩	mv_ mvy	户⺝
尝	sb_ sby	龸云
递	htu_ htuc	丷𢎨辶
燕	ldac ladc	廿口灬
洁	kgd_ kgdk	氵士口
拒	unn_ unnk	扌匚コ
郎	iit_ iite	丶阝
凝	wvo_ wvot	冫匕矢疋
净	wxb_ wxbv	冫⺈
遭	fyou	一曲曰辶
仪	jib_ jibi	亻丶乂
薄	lkn_ lknk	艹氵甫寸
卡	yfy_ yfyb	⺊一卜
末	fem	一木
勒	tsl	革力
乌	xuu xu2	乌
森	eee_ eeem	木木木
诺	sln_ slnd	讠艹𠂇口
呀	dly	口牙
壮	ags	丬士
忧	hoy	忄尤
沿	kod_ kodk	氵几口
惯	hko_ hkob	忄毌贝
丢	tgk_ tgks	丿土厶
季	xhi	禾子
企	jsi	人止
壁	cdng	尸口辛土
惜	hlo_ hlor	忄龷日
婆	krb_ krbn	氵皮女
袋	jpt_ jpti	亻弋衣
朗	iivy	丶月
零	tjks	⻗亽龴
辛	nx	辛
忆	hai	忄乙
努	br_ brsl	女又力
舒	jaiv	人予
枝	eci	木支
凤	ory	⺇又
灭	fch	一火
韩	non_ nong	十日十韦
胆	vof_ vofi	月日一
灰	nch	𠂇火
旦	ofi	日一
孟	ham	子皿
陷	txp_ txpj	阝⺈臼
俗	jhg	亻谷
绕	ipf_ ipfp	纟一儿
疾	aos	疒矢
瞧	quc_ quch	目隹灬
洪	klh_ klhb	氵龷八
甲	sjj sj2	甲
帐	rpc	巾长
糊	pcv_ pcvy	米古月
泛	ktr_ ktri	氵丿之
皆	vvu_ vvub	匕白
碰	mhc_ mhcy	石䒑业
吹	deq	口欠
码	mn_ mnm2	石马
奉	aiu_ aius	㇏
箱	req_ reqm	⺮木目
倾	jvw_ jvwy	亻页
胸	vnb_ vnbm	月勹㐅凵
堆	gui	土隹
狂	mnw	犭王
仲	jdg_ jdgs	亻口丨
圈	rhh_ rhhz	囗丷夫⺋
冬	hw_ hwb	夂⺀
餐	gr_ grqs	歺又食
厉	xfp_ xfpd	厂一
腿	viu_ viuc	月艮辶
尖	ymd	小大
括	uas	扌舌
佩	jof_ jofr	亻⺇一巾
鬼	ag	鬼
欣	te_ teq2	斤欠
垂	llg_ llgs	千艹士
跃	pt_ ptmd	⻊丿大
港	klhv	氵龷八巳
骗	nmi_ nmic2	马户
融	ncc	鬲虫
撞	uid_ uidl	扌立里
塔	glj_ gljd	土艹亼口
紫	svi_ svis	匕糸
荡	lka_ lkae	艹氵ㄋ
敏	ekhp	𠂉母攵
郑	hmt_ hmte	䒑大阝
赖	xxo_ xxob	束⺈贝
滑	kf_ kfg	氵骨
允	kpe	厶儿
鸟	xn	鸟
课	sqe_ sqem	讠田木
暂	yto_ ytor	斤日
瓦	rw	瓦
祥	fgy	礻羊
染	kke_ kkem	氵九木
滚	kth_ kthk	氵衣八厶
浮	kyh_ kyhi	氵爫子
粗	pfq	米且
刑	flp_ flpd	一廾刂
辆	yml	两
狗	mgj	犭句
扑	uyb	扌卜
稍	xyv_ xyvy	禾⺌⺝
秦	aix_ aixh	㇏禾
扎	uae	扌乚
魂	bag	云鬼
岛	xv_ xvs	鸟山
腾	vhh_ vhhn	月丷夫马
臣	qc	臣
琴	nnj_ nnja	王王亽
悉	tph_ tphx	丿米心
络	isg	纟各
摩	zu_ zus	麻手
措	ulo_ ulor	扌龷日
域	gpd_ gpdf	土戈口㇀
冠	wmpk	冖二儿寸
竹	ru	竹
殊	gta_ gtaw	歹丿未
豪	gjs	豕
呆	dem	口木
萨	lt_ ltix	艹阝厂
旋	lets	方𠂉疋
喊	dnfd	口戊一口
寄	wmz_ wmzk	宀大可
悄	hyv_ hyvy	忄⺌⺝
倍	jid_ jidk	亻立口
祝	fdp_ fdpe	礻口儿
剩	xa_ xavp	禾匕刂
督	yfyq	⺊一小目
旗	lez_ lezh	方𠂉
返	xru_ xruc	⺁又辶
召	pdk	刀口
彻	wr_ wrpd	彳七刀
宾	wth_ wthb	宀
甘	zg	甘
吐	dg_ dgt	口土
乔	tmp_ tmpd	丿大
腰	vvb_ vvbn	月覀女
拔	unr_ unri	扌𠂇又丶
幅	rfd_ rfdq	巾一口田
违	guc	韦辶
详	sgy	讠羊
臂	cdnv	尸口辛⺝
尺	cid	尸㇏
饮	qeq	饣欠
颗	qew_ qewy	田木页
涉	kssi	氵止
逼	fdqu	一口田辶
竞	idp_ idpe	立口儿
培	gid_ gidk	立口
惠	nqk_ nqkh	十田心
亏	mae	二ㄅ
叔	yfyr	⺊一小又
伏	jmq	亻犬
唤	dx_ dxmm	口⺈大
鸡	rx_ rxn2	又鸟
邻	jkt_ jkte	亽龴阝
池	key	氵也
怨	lzh_ lzhx	夕⺋心
奥	tmpm	丿冂米大
侯	jno_ jnos	亻矢
骑	nmz_ nmzk2	马大可
漫	koy_ koyr	氵曰罒又
拖	uee_ ueey	扌𠂉也
俊	jkh_ jkhh	亻厶八夊
尾	cv_ cvm2	尸毛
恨	hig	忄艮
贯	kob	毌贝
凌	wgh_ wghh	冫土八夊
兼	hbc_ hbch	䒑
询	sno_ snor	讠勹日
碎	mzj_ mzjn2	石亠人十
晨	of_ ofc2	日辰
罚	ysp_ yspd	罒讠刂
铺	znf	钅甫
浓	kwti	氵冖
伍	jwu	亻五
宿	wjf_ wjfu	宀亻一白
泉	uks	白水
井	qj	井
繁	ekhi	𠂉母攵糸
粉	php_ phpd	米八刀
绪	iqo_ iqor	纟耂日
筑	ruo_ ruoi	⺮工几丶
恢	hnc_ hnch	忄𠂇火
匹	npe	匸儿
尘	ygt	小土
辉	mwy_ mwyc	光冖车
魔	za_ zag2	麻鬼
仰	jbz_ jbzj	亻卩
董	lld_ lldl	艹千里
描	ulq_ ulqt	扌艹田
距	pnn_ pnnk	⻊匚コ
盗	wea_ weam	冫欠皿
渡	kxlr	氵广廿又
勤	lda_ ldas	廿口龶力
劝	rs_ rsl	又力
莲	lyu_ lyuc2	艹车辶
坦	gof_ gofi	土日一
搭	ulj_ uljd	扌艹亼口
挺	utg_ utgu	扌㇒士廴
踪	pwf_ pwfs2	⻊宀示
幽	vii_ viiy	山幺幺
截	npu_ npui	十戈隹
荒	lfo_ lfoc	艹亡
恰	hj_ hjdk	忄亼口
慧	aab_ aabh	丰丰彐心
邦	ate	阝
颇	rwy	皮页
焦	uch	隹灬
醉	yz_ yzjn	酉亠人十
废	xsr_ xsri	广又丶
掩	umo_ umoa	扌大日乚
签	rjkf	⺮亼⺍一
丧	ght_ ghti	土丷
灾	wc_ wch	宀火
鼻	oql_ oqlc	自田丌
侵	jbw_ jbwr	亻彐冖又
陶	tna_ tnaf	阝勹缶
肃	bph_ bphb	肀八
裁	npt_ npti	十戈衣
俱	jqh_ jqhb	亻
磨	zms	麻石
析	etj	木斤
奖	alm_ almd	丬夕大
匆	nei_ neid	勹丶
瓶	hlr_ hlrw	䒑廾瓦
泥	kcvb	氵尸匕
拾	uj_ ujdk	扌亼口
凉	wg_ wgyx2	冫小
麦	ahi	龶夂
钢	zmb_ zmbi	钅冂㐅
涌	kkt_ kkty	氵龴
潜	khh_ khho	氵夫夫曰
隆	thf_ thfl	阝夂一生
津	kbv	氵聿
搞	ugg	扌高
蛋	tc_ tcc2	疋虫
奈	mfs	大示
扰	uoy	扌尤
耐	lkc	而寸
傅	jnk_ jnkc	亻甫寸
锦	zur_ zurj	钅白巾
播	utp_ utpq	扌丿米田
墨	pgt	黑土
偶	jqv_ jqvr	亻田⽱
捕	unf	扌甫
惑	pdfh	戈口㇀心
飘	vfo_ vfob	覀示⺇乂
屈	csm_ csmk	尸屮凵
鸣	dxn	口鸟
挤	uqq	扌齐
毁	pur_ purs	臼工殳
斜	jxj_ jxjd	人斗
啦	duil	口扌立
污	kma_ kmae	氵二ㄅ
赤	gch	土
慰	cfkh	尸示寸心
饰	qer_ qerj	饣𠂉巾
锋	zhaf	钅夂丰
覆	vwe_ vweh	覀彳𠂉夊
汤	kae_ kaes	氵ㄋ
寿	akc	寸
跨	pmm_ pmma	⻊大二ㄅ
羊	gy	羊
